audio_file|text|speaker_name
wavs/one_409.wav|And above all else, we know this.|1
wavs/three_559.wav|You never saw so many electric cars pulled over to the side of the road.|1
wavs/two_71.wav|The two-tro of ISIS, if you look at what's happened,|1
wavs/three_341.wav|If they did, they'd be, they wouldn't even try.|1
wavs/three_1368.wav|It takes over our schools.|1
wavs/three_102.wav|So after he said, no way, I said way.|1
wavs/three_125.wav|Cain, sir, my name is Cain.|1
wavs/three_1835.wav|I want that with the sick people and with the children.|1
wavs/two_174.wav|and economies.|1
wavs/three_1793.wav|I said to the president of Mexico, you're going to have to give us 28,000 soldiers for your charge.|1
wavs/one_106.wav|And I want to just let you know, I am so behind you.|1
wavs/three_2048.wav|When I give these big rallies, we give rallies, they say, we love our first lady.|1
wavs/one_515.wav|I want you all and all of our incredible wounded warriors to know you have an entire nation|1
wavs/three_1267.wav|Great to meet you.|1
wavs/three_455.wav|And they say, sir, we have them now totally surrounded.|1
wavs/three_592.wav|And that's going to be a hell of a lot more than 28,000 soldiers.|1
wavs/three_508.wav|It would never happen again.|1
wavs/three_987.wav|An incredible young woman is with us this evening who should serve as an inspiration to us all.|1
wavs/three_680.wav|It is Deface the Nation, because their news is so fake.|1
wavs/three_18.wav|No, no, no, Donald, I will not.|1
wavs/three_1710.wav|I know the presidents and the dictators.|1
wavs/one_166.wav|Now, he was approved essentially, but they're doing little political games with me.|1
wavs/three_13.wav|We have languages coming into our country.|1
wavs/three_789.wav|They tell you a lot of things, some of which you knew and some of which you didn't know.|1
wavs/three_148.wav|Better looking than Tom Cruise and taller.|1
wavs/three_1472.wav|Well, that's the last you ever hear from me.|1
wavs/three_816.wav|A new chapter|1
wavs/three_1567.wav|See if we can indict him so that maybe we can win.|1
wavs/three_820.wav|Our allies will find that America is once again ready to lead.|1
wavs/one_506.wav|He held many different positions on five combat tours.|1
wavs/three_1745.wav|If you would just sign this budget and wait, next year we'll put it, and then next year came, I said, where's my wall?|1
wavs/three_722.wav|They send the water out to the Pacific to protect a little tiny fish, and people don't have water.|1
wavs/three_1600.wav|I wish it were stronger.|1
wavs/three_1747.wav|So what I did is I proved the military and I took it out of the military.|1
wavs/three_1038.wav|Their husbands, Deputy Sheriff Danny Oliver and Detective Michael Davis, were slain in the line of duty in California.|1
wavs/three_1273.wav|But that's what I'm hearing.|1
wavs/three_2244.wav|We're ready to send them to hell.|1
wavs/three_2185.wav|I'm waiting to hear.|1
wavs/three_2347.wav|And by the way, Mexico is our number one trading partner.|1
wavs/one_7.wav|Too often the focus of this organization has not been on results, but on bureaucracy and process.|1
wavs/three_873.wav|We are also taking strong measures to protect our nation from radical Islamic terrorism.|1
wavs/three_769.wav|We're not going to let it happen.|1
wavs/one_181.wav|I met him and I said, he is so good.|1
wavs/three_403.wav|No, sir, we don't question.|1
wavs/three_2544.wav|I will tell you, if God came down and God was, I believe we would win California.|1
wavs/three_853.wav|And we're imposing a new rule which mandates that for every one new regulation, two old regulations must be eliminated.|1
wavs/one_96.wav|The wall behind me is very, very special.|1
wavs/three_602.wav|Please give him my war mystery card.|1
wavs/four_30.wav|We've got to be poker players, we've got to be chess players.|1
wavs/two_369.wav|It is time for the regime to free all Americans and citizens of other nations that they have unjustly detained.|1
wavs/one_126.wav|We have to get rid of ISIS.|1
wavs/one_294.wav|Like if Tom Brady's on the cover, it's one time because he won the Super Bowl or something, right?|1
wavs/three_247.wav|I'm telling you, I've never, ever forgotten it.|1
wavs/three_205.wav|That's a tiny little one hundred.|1
wavs/two_294.wav|I was elected not to take power, but to give power to the American people where it belongs.|1
wavs/two_306.wav|America's devotion is measured on the battlefields where our young men and women have fought and sacrificed alongside of our allies.|1
wavs/three_316.wav|maniacs, lunatics are screaming.|1
wavs/three_1585.wav|These people are corrupt.|1
wavs/three_1281.wav|He just beat them along the way.|1
wavs/three_2380.wav|I said, will you make it quick?|1
wavs/three_273.wav|Wow.|1
wavs/three_1504.wav|They're destroying our country.|1
wavs/one_438.wav|Six months after he enlisted, Private Miller was on his way to Europe to fight for our country.|1
wavs/three_2135.wav|You're not allowed to do that, but they did it.|1
wavs/three_217.wav|It's quite an experience I just had.|1
wavs/three_1868.wav|And the person from the State Department is a really good woman.|1
wavs/three_961.wav|in his state, the state of Kentucky, and it's unsustainable and collapsing.|1
wavs/one_533.wav|We will not allow the government to censor sermons.|1
wavs/three_1757.wav|And that's when it began.|1
wavs/one_442.wav|He said, really cold.|1
wavs/one_542_0.wav|We want to make sure that anyone who seeks to join our country shares our values and has the capacity to love our peoples.|1
wavs/three_1401.wav|Four years, we had no wars.|1
wavs/one_149.wav|What a good guy.|1
wavs/three_1278.wav|And we all know and love a man who, great bravery in the administration, really a brave person.|1
wavs/four_43.wav|America.|1
wavs/three_2504.wav|I had it all set.|1
wavs/three_1058_4.wav|We can't turn the lights on in a plane.|1
wavs/three_176.wav|But the most beautiful voice, so professional.|1
wavs/three_1046.wav|Your loved ones will never, ever be forgotten.|1
wavs/three_1578.wav|They're sickos, that's why.|1
wavs/three_1616.wav|I'd say, let's talk about the border.|1
wavs/three_149.wav|I'll deviate on the story.|1
wavs/three_1393.wav|They were all afraid of Trump.|1
wavs/three_2507.wav|pouring down from Canada.|1
wavs/three_1995.wav|It's quite an experience I just had.|1
wavs/two_119.wav|Drive them out.|1
wavs/three_445.wav|I said, all right, good, call me.|1
wavs/three_2508.wav|You know, it comes down the artificial veins and the natural veins where the water poured down.|1
wavs/one_342.wav|That's real talent standing behind me.|1
wavs/one_28.wav|To make matters worse, Maduro has defied his own people, stealing power from their elected representatives to preserve his disastrous rule.|1
wavs/one_274.wav|But it's a lie.|1
wavs/three_193.wav|Captain, everything fine?|1
wavs/three_558.wav|This was so cold.|1
wavs/three_2001.wav|Am I allowed to do it?|1
wavs/three_2425.wav|So they'd fight and fight and fight for five years.|1
wavs/four_46.wav|I beat China all the time.|1
wavs/three_146.wav|I sat with the pilots, the most handsome human beings.|1
wavs/three_2580.wav|They tell you a lot of things, some of which you knew and some of which you didn't know.|1
wavs/three_184.wav|We have this massive plane, and we're just right off the ground.|1
wavs/three_2052.wav|She's a very tough critic.|1
wavs/three_823.wav|It will be one of the great milestones in the history of the world.|1
wavs/one_261.wav|The rain should have scared him away.|1
wavs/three_1615.wav|So much so that in 2020, I couldn't even mention it.|1
wavs/one_196.wav|But much more importantly to me, everybody respects him.|1
wavs/one_168.wav|Now, last night, as you know, General Mattis, fantastic guy, and General Kelly got approved.|1
wavs/three_2217.wav|It was ridiculous, but I would have never let Bagram go because Bagram|1
wavs/three_2258.wav|Low as hell.|1
wavs/two_298_0.wav|All responsible leaders have an obligation to serve their own citizens, and the nation-state remains the best vehicle for elevating the human condition.|1
wavs/two_252.wav|And it has just been announced that we will be spending almost $700 billion on our military and defense.|1
wavs/three_1279.wav|He went through|1
wavs/three_2050.wav|They always show a high heel, you know.|1
wavs/three_944.wav|I believe that real and positive immigration reform is possible as long as we focus on the following goals.|1
wavs/four_0.wav|We will make America great again.|1
wavs/three_8.wav|It started with El Salvador.|1
wavs/one_42.wav|The problem in Venezuela is not that socialism has been poorly implemented, but that socialism has been faithfully implemented.|1
wavs/three_2081.wav|But it's a very serious subject because of what happened.|1
wavs/one_469.wav|Delivered same-day mental health services at every VA medical center.|1
wavs/three_2503.wav|By the way, they could have so much water.|1
wavs/three_2046.wav|Mercedes, that's pretty good.|1
wavs/three_242.wav|They're very quick, but the press gives them good marks.|1
